RouteID,PaymentPlan,StartHub,Start_Latitude,Start_Longitude,StartDate,StartTime,EndHub,End_Latitude,End_Longitude,EndDate,EndTime,TripType,BikeID,BikeName,Distance_Miles_,Duration,RentalAccessPath,MultipleRental
11753118,Subscriber,NW Johnson at Jamison Square,45.5286366,-122.6820195,7/1/2019,0:00,,45.5263984,-122.6893626,7/1/2019,0:35,,6464,0559 BIKETOWN,0.52,0:34:47,keypad_rfid_card,FALSE
11753121,Casual,NW Couch at 11th,45.52374151,-122.6818129,7/1/2019,0:03,,45.523547,-122.6892567,7/1/2019,0:12,,6789,0446 BIKETOWN,0.49,0:09:16,keypad,FALSE
11753130,Casual,,45.5229274,-122.657678,7/1/2019,0:08,SE 14th at Stark,45.51844688,-122.651685,7/1/2019,0:14,,6438,0295 BIKETOWN,0.55,0:05:56,keypad,FALSE
11753142,Casual,Blues Fest - SW Waterfront at Clay ,45.512867,-122.67487,7/1/2019,0:24,SW 5th at Oak,45.5211726,-122.6763654,7/1/2019,0:42,,6522,0296 BIKETOWN,1.23,0:18:32,keypad,FALSE
11753147,Subscriber,SW 12th at Clay,45.51507401,-122.6870298,7/1/2019,0:31,,45.5205884,-122.6936092,7/1/2019,0:38,,6318,0919 BIKETOWN,0.62,0:07:42,keypad,FALSE
11753153,Casual,SW Salmon at Waterfront Park,45.51556831,-122.6738924,7/1/2019,0:39,SW Salmon at Waterfront Park,45.51556831,-122.6738924,7/1/2019,1:23,,6098,0454 BIKETOWN,1.97,0:43:51,keypad,FALSE
11753154,Casual,SW Salmon at Waterfront Park,45.51556831,-122.6738924,7/1/2019,0:40,SW Salmon at Waterfront Park,45.51556831,-122.6738924,7/1/2019,1:23,,6844,0120 BIKETOWN,1.91,0:42:41,keypad,FALSE
11753158,Casual,SW Morrison at Pioneer Courthouse Sq.,45.51928859,-122.6792488,7/1/2019,0:44,NW 18th at Flanders,45.52556242,-122.6892561,7/1/2019,0:53,,6371,0390 BIKETOWN,1,0:08:43,keypad,FALSE
11753159,Casual,,45.5398445,-122.675859,7/1/2019,0:47,,45.5299294,-122.6753219,7/1/2019,0:54,,6328,0127 BIKETOWN,1.66,0:07:22,keypad,FALSE
11753161,Casual,SW 10th at Harvey Milk ,45.52175423,-122.6810794,7/1/2019,0:49,NW 13th at Marshall,45.53080401,-122.6844227,7/1/2019,0:55,,6636,0825 BIKETOWN,0.79,0:05:46,keypad,FALSE
11753164,Casual,SE 37th at Gladstone - Community Corral,45.493337,-122.623397,7/1/2019,0:53,SE Belmont at 42nd,45.51645917,-122.6189983,7/1/2019,1:14,,6049,0346 BIKETOWN,1.95,0:20:35,keypad,TRUE
11753165,Casual,SE 37th at Gladstone - Community Corral,45.493337,-122.623397,7/1/2019,0:54,SE Belmont at 42nd,45.51645917,-122.6189983,7/1/2019,1:13,,6661,0768 BIKETOWN,1.97,0:19:14,keypad,TRUE
11753167,Casual,NE Holladay at MLK - Community Corral,45.529689,-122.661806,7/1/2019,0:56,,45.5229341,-122.6597069,7/1/2019,1:01,,7290,0180 BIKETOWN,0.46,0:04:20,mobile,FALSE
11753168,Casual,SE Ladd at Hawthorne,45.5120818,-122.6533493,7/1/2019,0:58,SE Ladd at Hawthorne,45.5120818,-122.6533493,7/1/2019,1:00,,7390,"0961 DESIGN BIKE, WATERFRONT WANDERER SW ",0,0:01:42,mobile,FALSE
11753169,Subscriber,NW Johnson at Jamison Square,45.5286366,-122.6820195,7/1/2019,0:59,NW 19th at Johnson,45.52862062,-122.6905073,7/1/2019,1:16,,23242,0893 BIKETOWN,0.78,0:16:47,keypad,FALSE
