"group" "improve"
"Treatment" "yes"
"Treatment" "yes"
"Treatment" "yes"
"Treatment" "yes"
"Treatment" "yes"
"Treatment" "yes"
"Treatment" "yes"
"Treatment" "yes"
"Treatment" "yes"
"Treatment" "yes"
"Treatment" "no"
"Treatment" "no"
"Treatment" "no"
"Treatment" "no"
"Treatment" "no"
"Control" "yes"
"Control" "yes"
"Control" "yes"
"Control" "no"
"Control" "no"
"Control" "no"
"Control" "no"
"Control" "no"
"Control" "no"
"Control" "no"
"Control" "no"
"Control" "no"
"Control" "no"
"Control" "no"
"Control" "no"
