Timestamp,Problem sets for this course have been ________ for my learning,In class activities for this course have been ________ for my learning,How has the workload been for the course so far?,I wish we had...,What direction would you like to see the class go in regards to gen AI? ,Do you have any feedback about the course? How are the lectures going for you? How are office hours going for you?,Do you have any ideas as to how the course could be improved to better help with your learning and understanding of the material? ,Feel free to add any additional comments about the how the course has been going for you here. 
3/9/2026 13:15:06,somewhat helpful,neutral,a little too much work,More lecture time and less in class activity time,"Option 2: Along with the content in Option 1, learn to generate some code with AI and to be critical of the code it generates. (~1-2 days of lecture, part of a problem set)","Lectures are good, pace is good, problem sets are a bit too long to make each data viz look beautiful","The problem set question where you had to compare a .csv with another classmate was annoying, had to wait for other people to get to the problem before submitting",N/a
3/9/2026 13:15:39,very helpful,somewhat helpful,just the right amount of work,More lecture time and less in class activity time,"Option 1: Learn to use it to (effectively/quickly) debug code. Learn to be critical of its output and compare its use to other debugging/searching tools. (~1 day of lecture, part of a problem set)",Last Tuesday the activity we did with shiny was paced way to fast and I had no idea what was going on. Could we revisit this? Lectures are going well and the slides are so helpful. ,More extension days please. ,I've really been enjoying this course! 
3/9/2026 13:18:36,neutral,somewhat helpful,just the right amount of work,More in class activity time and less lecture time,"Option 1: Learn to use it to (effectively/quickly) debug code. Learn to be critical of its output and compare its use to other debugging/searching tools. (~1 day of lecture, part of a problem set)",,,None so far
3/9/2026 13:20:45,somewhat helpful,very unhelpful,way too much work,More in class activity time and less lecture time,"Option 1: Learn to use it to (effectively/quickly) debug code. Learn to be critical of its output and compare its use to other debugging/searching tools. (~1 day of lecture, part of a problem set)","I feel lectures don't include enough hands-on stuff, it's hard to learn coding when we are just reading code off a screen. The problem sets have been a lot of work, especially because we often do things we have not gone over in lecture. We often go over very simple barebones examples in class, and we are thrown into much more complicated problem sets without help. Doing the more complex problems definitely help my understanding of the material, but it can be frustrating spending hours on one part of one problem.",It would be nice to spend one (or half of one) of our lecture days doing work such as the problem set or something of similar complexity so that we can get help from you while doing it. ,In-class activities are way too easy compared to how difficult the problem sets are. They don't really set us up for one another.
3/9/2026 13:21:45,somewhat unhelpful,somewhat helpful,way too much work,A lab section in addition to lectures so that we could do it all!,"Option 2: Along with the content in Option 1, learn to generate some code with AI and to be critical of the code it generates. (~1-2 days of lecture, part of a problem set)","I think lectures are going really well,  sometimes the content is presented a little fast. Office hours are helpful but I feel stuck on the problem sets as soon as I am not in office hours, I feel a little like a deer in headlights unable to move. I feel a bit over my head in this class. I feel like the problem sets have been overwhelming and I'm not sure if that is just a me issue but in some ways I am feeling a bit of an imposter syndrome. I took intro stats quite a while ago so in someways I think that is why this class has been hard for me to keep on top of. ",I think shorter and simpler problem sets would allow me to feel like I'm actually getting somewhere. It feels quite overwhelming when I have so much to do and it feels like I can't do it. If we had less problems with more in depth instructions I feel like I would learn a bit more and feel less stressed.,"Thank you for all the work you do, I really appreciate your help and your passion for data science. "
3/9/2026 13:22:04,very helpful,somewhat unhelpful,a little too much work,"More in class activity time and less lecture time, A lab section in addition to lectures so that we could do it all!","I don't really have any desire to use gen AI, but I would be okay with spending one class on it and a small part of the problem set (option 1)","I would say the lectures are somewhat helpful for getting me familiar with packages and their capabilities, but I do feel that it's not the best way for me to learn this material. I find that I really have to re-teach myself concepts on the majority of the problem sets. Also especially with the lecture on the Shiny dashboard, I feel like I left class having no idea how to use it because I got lost trying to follow the code. I think some form of class where we follow along with code is a great idea, but we should go at a slower pace or cover less material for it ot actually be helpful. The problem sets are very useful for me, but again since I feel like I have to re-teach myself most things, it takes me a long time to do. The in-class activities have been sort of helpful, but again I feel like we never really have enough time to work on them.","Like I said in the last question, I think having more interactive parts of class would be good, but we need to have more time to work on them.","I really think this course has been helpful in getting me more comfortable using R, and the spatial data section was interesting because I never really knew you could use R for that."
3/9/2026 14:43:49,very helpful,somewhat helpful,just the right amount of work,More in class activity time and less lecture time,I'd be interested to learn but don't want to use it as a part of my problem set,,,Its been going great.
3/9/2026 14:44:10,very helpful,somewhat helpful,a little too much work,About the same ratio of lecture/in class activities,"Option 2: Along with the content in Option 1, learn to generate some code with AI and to be critical of the code it generates. (~1-2 days of lecture, part of a problem set)",,,I'm loving it! Its a blast and I've learned so many useful skills.
3/9/2026 14:44:13,very helpful,very helpful,a little too much work,About the same ratio of lecture/in class activities,"Option 2: Along with the content in Option 1, learn to generate some code with AI and to be critical of the code it generates. (~1-2 days of lecture, part of a problem set)",,,n/a
3/9/2026 14:44:16,somewhat helpful,neutral,a little too much work,More lecture time and less in class activity time,"Option 2: Along with the content in Option 1, learn to generate some code with AI and to be critical of the code it generates. (~1-2 days of lecture, part of a problem set)",I greatly appreciate Grayson's availability,,"Less homework questions please, they take up a lot of time"
3/9/2026 14:44:38,very helpful,very unhelpful,a little too much work,A lab section in addition to lectures so that we could do it all!,"Option 2: Along with the content in Option 1, learn to generate some code with AI and to be critical of the code it generates. (~1-2 days of lecture, part of a problem set)",I wish we had more time on the problem sets and that they were due at 11:59PM instead of 9AM,incorporate recordings for live coding so we can look later at the material ,N/A
3/9/2026 14:44:57,somewhat helpful,very helpful,just the right amount of work,More in class activity time and less lecture time,"Option 2: Along with the content in Option 1, learn to generate some code with AI and to be critical of the code it generates. (~1-2 days of lecture, part of a problem set)",everything is going very well! ,I would say that it is a bit hard having the problem sets due at 9 am as I often find myself working on them into the early hours of the morning. This is mostly a time management thing but I have heard from other students that they also prefer midnight as a due date time rather than 9 am or 5 pm ect.,its very fun!
3/9/2026 14:45:06,very helpful,somewhat helpful,a little too much work,A lab section in addition to lectures so that we could do it all!,"Option 1: Learn to use it to (effectively/quickly) debug code. Learn to be critical of its output and compare its use to other debugging/searching tools. (~1 day of lecture, part of a problem set)",Great!,"Not much, maybe talk about common errors and debugging stratagies",Been great
3/9/2026 14:45:36,very helpful,somewhat helpful,a little too much work,"About the same ratio of lecture/in class activities, A lab section in addition to lectures so that we could do it all!","Option 3: Don't engage with gen AI at all. (0 days of lecture, no part of a problem set)","Lectures are good, although it's always much easier to see the code/workflow than actually do it yourself. I really appreciate how detailed the lectures are, they're super valuable. I could make better use of office hours, which is just a reflection for myself. ",,It's been rough. I'm finding a lot of joy in struggling through the problem sets but it is indeed a struggle.
3/9/2026 14:45:45,somewhat helpful,somewhat helpful,way too much work,A lab section in addition to lectures so that we could do it all!,"Option 1: Learn to use it to (effectively/quickly) debug code. Learn to be critical of its output and compare its use to other debugging/searching tools. (~1 day of lecture, part of a problem set)","I love the lectures; they work well for my learning style. However, the in class coding is a bit hard to follow.","Possibly shorter problem sets, and maybe more application of coding.",I love the class so far!
3/9/2026 14:46:43,somewhat helpful,somewhat helpful,just the right amount of work,About the same ratio of lecture/in class activities,"Option 2: Along with the content in Option 1, learn to generate some code with AI and to be critical of the code it generates. (~1-2 days of lecture, part of a problem set)",Everything is going really well. I have been appreciating your teaching style and am happy I chose to take this class.,I think that some of the problem sets have had questions that were a little vage and I would appreciate a bit more specificity. I also would appreciate it if we spent a bit more time in class on the rendering of animated code because I had a lot of difficulty with that on the last problem set.,N/A
3/9/2026 14:47:25,very helpful,neutral,just the right amount of work,More in class activity time and less lecture time,"Option 1: Learn to use it to (effectively/quickly) debug code. Learn to be critical of its output and compare its use to other debugging/searching tools. (~1 day of lecture, part of a problem set)","Office hours are very helpful, as are course assistant hours! I also appreciate how closely the problem sets are related to the lecture material. Problem set 4 was a bit heavy on requiring external research, though. ","I do wish that class periods involved a little bit more time to work on activities, and that some of that activity work could be done solo but with the opportunity to ask questions... kind of like a MATH 141 lab.","Overall, very happy with the course and the amount of support offered outside of class hours!"
3/9/2026 14:47:38,very helpful,very helpful,a little too much work,A lab section in addition to lectures so that we could do it all!,"Option 2: Along with the content in Option 1, learn to generate some code with AI and to be critical of the code it generates. (~1-2 days of lecture, part of a problem set)","I am making good progress keeping up with the class and learning these different forms of data knowledge, though the problem sets are a bit longer. Sometimes I feel that they have too many parts for e.g. the last ""your turn"" questions dont feel the most productive or like  I get the most out of it, since I have to rush through them often and they leave me feeling incomplete or incompetent enough to focus more time on it. I guess we all have to manage our times but sometimes I wish they were shorter. ","Focusing on small groups and activity time will be fun, and more call and response is a great way to keep the 80 mins more engaging and so focus does not drift.",-
3/9/2026 14:49:02,somewhat helpful,neutral,way too much work,About the same ratio of lecture/in class activities,"Option 1: Learn to use it to (effectively/quickly) debug code. Learn to be critical of its output and compare its use to other debugging/searching tools. (~1 day of lecture, part of a problem set)",The problem sets are taking me a really long time and its kind of frustrating to have to learn a bunch of new things to do the problem set. Office hours are helpful and I think overall the class is fun. ,"I would do better if the problem sets were more focused on fine tuning the things we learned in class, I don't feel like I'm good enough at coding to try to learn the things you taught us as well as a bunch of new stuff at the same time. ","I think its cool that you're asking our opinion about AI and what we should do with it in class.  I don't really like AI generally,  but I still think its important that we talk about it and acknowledge its existence in higher education. "
