"PLT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","PLOT_STATUS_CD","INTENSITY","PLOT_ID","COUNTYFIPS","HEXID","PROVINCE","SECTION","SUBSECTION","elev","tri","lfevc","lfevh","ppt","tmin01","tmean","tmax","tmin","tdmean","tcc23","tnt","BA","VOLCFNET","VOLBFNET","TPA_UNADJ","DRYBIO_AG","CARBON_AG"
"174763094020004",2013,41,2,33,74390,1,"202","PID410203374390","41033",129540,"M261","M261A","M261Ao",1346,109.087120056152,74,31,1577,-61,971,1505,437,82,77,1,527.502,295.636,11482.873,72031.092,252.186,128.88
"174763095020004",2013,41,2,15,73477,1,"201","PID410201573477","41015",129441,"263","263A","263Ab",505,80.1186599731445,65,21,2482,399,1201,1684,718,704,73,1,1273.223,300.911,6195.517,22077.843,173.57,85.443
"174763098020004",2013,41,0,47,57351,1,"202","PID410004757351","41047",72254,"M242","M242B","M242Bb",720,121.684013366699,0,0,2516,-101,894,1436,352,340,27,1,173.252,225.601,10256.859,67082.759,188.723,96.789
"174763099020004",2013,41,4,63,86120,1,"203","PID410406386120","41063",55622,"M332","M332G","M332Gd",1630,91.4275665283203,22,12,819,-495,625,1126,124,-159,13,1,43.126,52.93,1378.164,7525.568,29.452,15.134
"174763100020004",2013,41,2,19,64768,1,"201","PID410201964768","41019",91307,"M242","M242A","M242Aa",13,5.65685415267944,62,32,1827,441,1122,1523,721,800,62,1,604.033,149.727,1990.502,3224.912,54.315,27.312
"174763104020004",2013,41,4,23,76676,1,"202","PID410402376676","41023",81401,"M332","M332G","M332Gl",2309,61.6684684753418,15,7,965,-831,324,887,-239,-478,13,1,30.09,20.556,49.324,150.265,3.474,1.661
"174763105020004",2013,41,1,41,72656,1,"201","PID410104172656","41041",77793,"M242","M242A","M242Ag",222,128.40950012207,48,16,2470,208,1107,1635,580,657,56,1,49.075,314.444,12722.667,82681.726,303.37,156.459
"174763106020004",2013,41,1,43,64294,1,"202","PID410104364294","41043",78114,"M242","M242B","M242Ba",802,41.484935760498,60,24,2101,-92,911,1456,365,362,75,1,634.602,128.55,2567.19,9823.163,53.682,27.341
"174763107020004",2013,41,1,43,98559,1,"203","PID410104398559","41043",77789,"M242","M242B","M242Bc",1197,14.6287384033203,60,22,1989,-325,700,1266,134,90,83,1,284.188,409.975,18583.444,128844.169,345.536,176.745
"174763112020004",2013,41,2,29,71790,1,"201","PID410202971790","41029",115774,"M242","M242B","M242Bg",1122,49.7493705749512,76,29,1181,-213,893,1519,267,195,80,1,315.392,195.377,7135.734,44171.405,132.729,68.389
"174763113020004",2013,41,3,69,61555,1,"202","PID410306961555","41069",67945,"M332","M332G","M332Gb",1404,14.6969385147095,30,12,482,-414,752,1308,195,-82,11,1,124.109,74.218,1613.06,8982.755,35.782,18.133
"174763114020004",2013,41,4,25,76550,1,"201","PID410402576550","41025",90063,"M332","M332G","M332Gh",1613,36.8374824523926,36,16,512,-769,580,1282,-121,-231,29,1,24.049,59.683,2104.308,13604.586,39.299,19.814
"174763115020004",2013,41,4,23,86235,1,"202","PID410402386235","41023",86585,"M332","M332G","M332Gh",1732,18.6815414428711,30,13,665,-822,562,1258,-135,-227,33,1,709.046,105.661,1810.509,9693.62,42.046,21.182
"174763122020004",2013,41,3,35,58716,1,"202","PID410303558716","41035",99752,"M242","M242C","M242Ce",1478,10.8627805709839,7,14,1033,-669,578,1285,-129,-79,5,2,477.133,34.88,522.521,1088.131,11.38,5.724
"174763123020004",2013,41,2,33,82395,1,"201","PID410203382395","41033",120838,"M261","M261A","M261Aa",781,136.33415222168,44,27,1957,20,1141,1855,428,392,43,1,231.094,299.487,14953.996,106723.071,344.922,176.327
"174763131020004",2013,41,4,23,76360,1,"202","PID410402376360","41023",67795,"M332","M332G","M332Gb",1289,41.0121917724609,24,18,482,-434,787,1390,183,-47,7,1,271.291,77.171,1373.124,6063.067,30.464,15.655
"174763132020004",2013,41,1,43,75420,1,"201","PID410104375420","41043",79780,"M242","M242B","M242Bb",1225,92.5202713012695,39,20,2731,-166,753,1231,275,238,80,1,240.699,353.868,13727.849,85486.986,246.898,125.208
"174763133020004",2013,41,1,43,87930,1,"201","PID410104387930","41043",80241,"M242","M242B","M242Bc",1536,17.9164733886719,32,21,2090,-499,528,1102,-46,0,47,1,186.559,63.803,894.548,1320.381,20.084,10.091
"174763134020004",2013,41,4,23,73885,1,"201","PID410402373885","41023",68749,"M332","M332G","M332Gl",1952,43.162483215332,51,18,885,-808,423,975,-129,-278,59,1,895.648,186.271,4261.898,2346.399,88.657,44.481
"174763142020004",2013,41,4,63,92846,1,"202","PID410406392846","41063",51004,"M332","M332G","M332Gd",1096,164.331985473633,37,17,520,-436,836,1391,282,-21,43,1,79.234,36.352,711.091,2131.622,16.187,8.353
"174763143020004",2013,41,2,19,91403,1,"202","PID410201991403","41019",107513,"M242","M242B","M242Bg",1164,96.015625,59,29,1417,-135,950,1591,309,274,63,1,193.305,175.597,4912.958,29083.24,105.591,54.318
