year,sex,name,n,prop
1880,F,Ella,1156,0.01184366
1880,F,Emily,210,0.00215153
1880,F,Anne,136,0.00139337
1880,F,Eleanor,129,0.00132165
1880,F,James,22,2.254e-4
1880,F,Luna,15,1.5368e-4
1880,F,Eddie,12,1.2294e-4
1880,F,Amber,9,9.221e-5
1880,M,James,5927,0.05005912
1880,M,Alex,147,0.00124155
1880,M,Eddie,129,0.00108953
1880,M,Elijah,100,8.4459e-4
1880,M,Chris,49,4.1385e-4
1880,M,Tyler,7,5.912e-5
1880,M,Colin,6,5.068e-5
1881,F,Ella,1148,0.01161297
1881,F,Emily,244,0.00246826
1881,F,Anne,131,0.00132517
1881,F,Eleanor,110,0.00111274
1881,F,James,24,2.4278e-4
1881,F,Luna,18,1.8208e-4
1881,F,Eddie,11,1.1127e-4
1881,F,Amber,5,5.058e-5
1881,M,James,5441,0.05024843
1881,M,Alex,114,0.00105281
1881,M,Eddie,109,0.00100663
1881,M,Elijah,69,6.3723e-4
1881,M,Chris,52,4.8023e-4
1881,M,Colin,5,4.618e-5
1882,F,Ella,1206,0.01042396
1882,F,Emily,272,0.00235101
1882,F,Eleanor,174,0.00150395
1882,F,Anne,168,0.00145209
1882,F,James,18,1.5558e-4
1882,F,Eddie,16,1.3829e-4
1882,M,James,5892,0.04828281
1882,M,Alex,172,0.00140948
1882,M,Eddie,169,0.00138489
1882,M,Elijah,111,9.096e-4
1882,M,Chris,39,3.1959e-4
1882,M,Colin,5,4.097e-5
1883,F,Ella,1251,0.01041988
1883,F,Emily,342,0.0028486
1883,F,Eleanor,185,0.00154091
1883,F,Anne,183,0.00152425
1883,F,James,25,2.0823e-4
1883,F,Eddie,22,1.8324e-4
1883,F,Luna,17,1.416e-4
1883,M,James,5223,0.04643616
1883,M,Eddie,125,0.00111134
1883,M,Alex,120,0.00106688
1883,M,Elijah,92,8.1795e-4
1883,M,Chris,47,4.1786e-4
1883,M,Colin,5,4.445e-5
1883,M,Ella,5,4.445e-5
1883,M,Meredith,5,4.445e-5
1884,F,Ella,1374,0.00998648
1884,F,Emily,364,0.00264562
1884,F,Anne,242,0.0017589
1884,F,Eleanor,198,0.0014391
1884,F,James,33,2.3985e-4
1884,F,Eddie,25,1.817e-4
1884,F,Luna,18,1.3083e-4
1884,F,Amber,6,4.361e-5
1884,M,James,5693,0.04638335
1884,M,Eddie,179,0.00145839
1884,M,Alex,148,0.00120582
1884,M,Elijah,85,6.9253e-4
1884,M,Chris,57,4.644e-4
1884,M,Ella,6,4.888e-5
1884,M,Tyler,5,4.074e-5
1885,F,Ella,1395,0.00982754
1885,F,Emily,346,0.00243751
1885,F,Eleanor,222,0.00156395
1885,F,Anne,203,0.0014301
1885,F,James,26,1.8317e-4
1885,F,Eddie,25,1.7612e-4
1885,F,Luna,15,1.0567e-4
1885,M,James,5175,0.04463323
1885,M,Alex,159,0.00137134
1885,M,Eddie,141,0.00121609
1885,M,Elijah,82,7.0723e-4
1885,M,Chris,50,4.3124e-4
1885,M,Colin,6,5.175e-5
1885,M,Ella,6,5.175e-5
1886,F,Ella,1464,0.00952288
1886,F,Emily,369,0.00240023
1886,F,Eleanor,271,0.00176277
1886,F,Anne,211,0.00137249
1886,F,Eddie,30,1.9514e-4
1886,F,James,29,1.8864e-4
1886,F,Luna,20,1.3009e-4
1886,M,James,5355,0.0449845
1886,M,Eddie,197,0.00165489
1886,M,Alex,161,0.00135248
1886,M,Elijah,93,7.8124e-4
1886,M,Chris,62,5.2083e-4
1886,M,Colin,7,5.88e-5
1886,M,Ella,6,5.04e-5
1887,F,Ella,1521,0.00978626
1887,F,Emily,335,0.00215542
1887,F,Anne,249,0.00160209
1887,F,Eleanor,247,0.00158922
1887,F,Eddie,22,1.4155e-4
1887,F,Luna,22,1.4155e-4
1887,F,James,19,1.2225e-4
1887,F,Amber,9,5.791e-5
1887,M,James,4768,0.04361787
1887,M,Alex,136,0.00124413
1887,M,Eddie,129,0.0011801
1887,M,Elijah,75,6.861e-4
1887,M,Chris,46,4.2081e-4
1887,M,Colin,6,5.489e-5
1888,F,Ella,1774,0.0093642
1888,F,Emily,457,0.00241231
1888,F,Anne,292,0.00154134
1888,F,Eleanor,288,0.00152023
1888,F,James,45,2.3754e-4
1888,F,Eddie,27,1.4252e-4
1888,F,Luna,24,1.2669e-4
1888,F,Amber,9,4.751e-5
1888,M,James,5562,0.04281557
1888,M,Eddie,193,0.00148569
1888,M,Alex,167,0.00128554
1888,M,Elijah,88,6.7741e-4
1888,M,Chris,59,4.5417e-4
1888,M,Ella,8,6.158e-5
1888,M,Tyler,5,3.849e-5
1889,F,Ella,1647,0.0087042
1889,F,Emily,429,0.00226721
1889,F,Eleanor,312,0.00164888
1889,F,Anne,311,0.0016436
1889,F,Eddie,30,1.5855e-4
1889,F,James,26,1.3741e-4
1889,F,Luna,19,1.0041e-4
1889,F,Amber,8,4.228e-5
1889,F,Fae,6,3.171e-5
1889,M,James,5020,0.04217353
1889,M,Eddie,155,0.00130217
1889,M,Alex,127,0.00106694
1889,M,Elijah,61,5.1247e-4
1889,M,Chris,42,3.5285e-4
1889,M,Tyler,7,5.881e-5
1889,M,Colin,6,5.041e-5
1890,F,Ella,1758,0.0087176
1890,F,Emily,509,0.00252404
1890,F,Eleanor,351,0.00174054
1890,F,Anne,319,0.00158186
1890,F,Eddie,46,2.2811e-4
1890,F,James,33,1.6364e-4
1890,F,Luna,24,1.1901e-4
1890,F,Amber,10,4.959e-5
1890,M,James,5097,0.0425811
1890,M,Eddie,197,0.00164577
1890,M,Alex,147,0.00122806
1890,M,Elijah,64,5.3467e-4
1890,M,Chris,32,2.6733e-4
1890,M,Colin,6,5.012e-5
1891,F,Ella,1685,0.00857218
1891,F,Emily,444,0.00225878
1891,F,Eleanor,376,0.00191284
1891,F,Anne,342,0.00173987
1891,F,Eddie,35,1.7806e-4
1891,F,James,31,1.5771e-4
1891,F,Luna,24,1.221e-4
1891,F,Amber,10,5.087e-5
1891,F,Fae,7,3.561e-5
1891,M,James,4516,0.04133071
1891,M,Eddie,179,0.00163822
1891,M,Alex,133,0.00121722
1891,M,Elijah,57,5.2167e-4
1891,M,Chris,32,2.9287e-4
1891,M,Ella,7,6.406e-5
1892,F,Ella,1808,0.00803866
1892,F,Emily,518,0.00230311
1892,F,Anne,407,0.00180959
1892,F,Eleanor,389,0.00172956
1892,F,Eddie,39,0.00017340000000000001
1892,F,Luna,25,1.1115e-4
1892,F,James,22,9.782e-5
1892,F,Amber,10,4.446e-5
1892,F,Fae,9,4.002e-5
1892,M,James,5398,0.04106411
1892,M,Eddie,218,0.00165839
1892,M,Alex,163,0.00123999
1892,M,Elijah,85,6.4662e-4
1892,M,Chris,49,3.7276e-4
1892,M,Ella,6,4.564e-5
1892,M,Meredith,6,4.564e-5
1892,M,Tyler,5,3.804e-5
1893,F,Ella,1760,0.00781416
1893,F,Emily,506,0.00224657
1893,F,Anne,400,0.00177595
1893,F,Eleanor,397,0.00176263
1893,F,Luna,27,1.1988e-4
1893,F,Eddie,26,1.1544e-4
1893,F,James,23,1.0212e-4
1893,F,Amber,15,6.66e-5
1893,F,Fae,10,4.44e-5
1893,M,James,5030,0.04155617
1893,M,Eddie,220,0.00181757
1893,M,Alex,133,0.0010988
1893,M,Elijah,77,6.3615e-4
1893,M,Chris,40,3.3047e-4
1893,M,Meredith,6,4.957e-5
1894,F,Ella,1761,0.00746278
1894,F,Emily,551,0.00233503
1894,F,Eleanor,450,0.00190701
1894,F,Anne,427,0.00180954
1894,F,Eddie,49,2.0765e-4
1894,F,Luna,30,1.2713e-4
1894,F,James,25,1.0595e-4
1894,F,Amber,12,5.085e-5
1894,F,Fae,9,3.814e-5
1894,M,James,5110,0.04091502
1894,M,Eddie,203,0.00162539
1894,M,Alex,152,0.00121704
1894,M,Elijah,54,4.3237e-4
1894,M,Chris,45,3.6031e-4
1894,M,Ella,8,6.405e-5
1895,F,Ella,1692,0.00684726
1895,F,Emily,605,0.00244834
1895,F,Eleanor,544,0.00220148
1895,F,Anne,462,0.00186964
1895,F,Eddie,50,2.0234e-4
1895,F,James,34,1.3759e-4
1895,F,Luna,23,9.308e-5
1895,F,Amber,16,6.475e-5
1895,F,Fae,15,6.07e-5
1895,F,Meredith,6,2.428e-5
1895,M,James,5335,0.04212629
1895,M,Eddie,228,0.00180034
1895,M,Alex,143,0.00112916
1895,M,Elijah,75,5.9222e-4
1895,M,Chris,41,3.2374e-4
1895,M,Colin,5,3.948e-5
1895,M,Meredith,5,3.948e-5
1895,M,Tyler,5,3.948e-5
1896,F,Ella,1683,0.00667876
1896,F,Emily,527,0.00209133
1896,F,Eleanor,493,0.0019564
1896,F,Anne,423,0.00167862
1896,F,Eddie,50,1.9842e-4
1896,F,James,28,1.1111e-4
1896,F,Luna,27,1.0715e-4
1896,F,Amber,17,6.746e-5
1896,F,Fae,13,5.159e-5
1896,M,James,5207,0.04034214
1896,M,Eddie,262,0.00202989
1896,M,Alex,165,0.00127837
1896,M,Elijah,87,6.7405e-4
1896,M,Chris,53,4.1063e-4
1896,M,Colin,6,4.649e-5
1896,M,Ella,6,4.649e-5
