DateTime,Day,Date,Time,Total,Westbound,Eastbound
01/18/2022 12:00:00 AM,Tuesday,01/18/2022,00:00:00,0,0,0
01/18/2022 12:15:00 AM,Tuesday,01/18/2022,00:15:00,0,0,0
01/18/2022 12:30:00 AM,Tuesday,01/18/2022,00:30:00,0,0,0
01/18/2022 12:45:00 AM,Tuesday,01/18/2022,00:45:00,0,0,0
01/18/2022 01:00:00 AM,Tuesday,01/18/2022,01:00:00,0,0,0
01/18/2022 01:15:00 AM,Tuesday,01/18/2022,01:15:00,0,0,0
01/18/2022 01:30:00 AM,Tuesday,01/18/2022,01:30:00,0,0,0
01/18/2022 01:45:00 AM,Tuesday,01/18/2022,01:45:00,0,0,0
01/18/2022 02:00:00 AM,Tuesday,01/18/2022,02:00:00,0,0,0
01/18/2022 02:15:00 AM,Tuesday,01/18/2022,02:15:00,1,1,0
01/18/2022 02:30:00 AM,Tuesday,01/18/2022,02:30:00,0,0,0
01/18/2022 02:45:00 AM,Tuesday,01/18/2022,02:45:00,0,0,0
01/18/2022 03:00:00 AM,Tuesday,01/18/2022,03:00:00,0,0,0
01/18/2022 03:15:00 AM,Tuesday,01/18/2022,03:15:00,0,0,0
01/18/2022 03:30:00 AM,Tuesday,01/18/2022,03:30:00,0,0,0
01/18/2022 03:45:00 AM,Tuesday,01/18/2022,03:45:00,0,0,0
01/18/2022 04:00:00 AM,Tuesday,01/18/2022,04:00:00,0,0,0
01/18/2022 04:15:00 AM,Tuesday,01/18/2022,04:15:00,0,0,0
01/18/2022 04:30:00 AM,Tuesday,01/18/2022,04:30:00,2,0,2
01/18/2022 04:45:00 AM,Tuesday,01/18/2022,04:45:00,0,0,0
01/18/2022 05:00:00 AM,Tuesday,01/18/2022,05:00:00,1,0,1
01/18/2022 05:15:00 AM,Tuesday,01/18/2022,05:15:00,1,0,1
01/18/2022 05:30:00 AM,Tuesday,01/18/2022,05:30:00,3,1,2
01/18/2022 05:45:00 AM,Tuesday,01/18/2022,05:45:00,1,0,1
01/18/2022 06:00:00 AM,Tuesday,01/18/2022,06:00:00,3,0,3
01/18/2022 06:15:00 AM,Tuesday,01/18/2022,06:15:00,5,0,5
01/18/2022 06:30:00 AM,Tuesday,01/18/2022,06:30:00,3,0,3
01/18/2022 06:45:00 AM,Tuesday,01/18/2022,06:45:00,6,0,6
01/18/2022 07:00:00 AM,Tuesday,01/18/2022,07:00:00,4,0,4
01/18/2022 07:15:00 AM,Tuesday,01/18/2022,07:15:00,7,3,4
01/18/2022 07:30:00 AM,Tuesday,01/18/2022,07:30:00,14,0,14
01/18/2022 07:45:00 AM,Tuesday,01/18/2022,07:45:00,8,1,7
01/18/2022 08:00:00 AM,Tuesday,01/18/2022,08:00:00,9,4,5
01/18/2022 08:15:00 AM,Tuesday,01/18/2022,08:15:00,14,3,11
01/18/2022 08:30:00 AM,Tuesday,01/18/2022,08:30:00,19,2,17
01/18/2022 08:45:00 AM,Tuesday,01/18/2022,08:45:00,19,3,16
01/18/2022 09:00:00 AM,Tuesday,01/18/2022,09:00:00,10,2,8
01/18/2022 09:15:00 AM,Tuesday,01/18/2022,09:15:00,17,0,17
01/18/2022 09:30:00 AM,Tuesday,01/18/2022,09:30:00,9,2,7
01/18/2022 09:45:00 AM,Tuesday,01/18/2022,09:45:00,5,2,3
01/18/2022 10:00:00 AM,Tuesday,01/18/2022,10:00:00,5,0,5
01/18/2022 10:15:00 AM,Tuesday,01/18/2022,10:15:00,3,2,1
01/18/2022 10:30:00 AM,Tuesday,01/18/2022,10:30:00,6,2,4
01/18/2022 10:45:00 AM,Tuesday,01/18/2022,10:45:00,5,1,4
01/18/2022 11:00:00 AM,Tuesday,01/18/2022,11:00:00,2,1,1
01/18/2022 11:15:00 AM,Tuesday,01/18/2022,11:15:00,5,2,3
01/18/2022 11:30:00 AM,Tuesday,01/18/2022,11:30:00,5,1,4
01/18/2022 11:45:00 AM,Tuesday,01/18/2022,11:45:00,6,1,5
01/18/2022 12:00:00 PM,Tuesday,01/18/2022,12:00:00,5,2,3
01/18/2022 12:15:00 PM,Tuesday,01/18/2022,12:15:00,4,1,3
01/18/2022 12:30:00 PM,Tuesday,01/18/2022,12:30:00,5,2,3
01/18/2022 12:45:00 PM,Tuesday,01/18/2022,12:45:00,8,6,2
01/18/2022 01:00:00 PM,Tuesday,01/18/2022,13:00:00,1,1,0
01/18/2022 01:15:00 PM,Tuesday,01/18/2022,13:15:00,6,1,5
01/18/2022 01:30:00 PM,Tuesday,01/18/2022,13:30:00,8,2,6
01/18/2022 01:45:00 PM,Tuesday,01/18/2022,13:45:00,5,1,4
01/18/2022 02:00:00 PM,Tuesday,01/18/2022,14:00:00,5,4,1
01/18/2022 02:15:00 PM,Tuesday,01/18/2022,14:15:00,6,5,1
01/18/2022 02:30:00 PM,Tuesday,01/18/2022,14:30:00,2,1,1
01/18/2022 02:45:00 PM,Tuesday,01/18/2022,14:45:00,7,5,2
01/18/2022 03:00:00 PM,Tuesday,01/18/2022,15:00:00,6,3,3
01/18/2022 03:15:00 PM,Tuesday,01/18/2022,15:15:00,7,4,3
01/18/2022 03:30:00 PM,Tuesday,01/18/2022,15:30:00,4,3,1
01/18/2022 03:45:00 PM,Tuesday,01/18/2022,15:45:00,9,9,0
01/18/2022 04:00:00 PM,Tuesday,01/18/2022,16:00:00,8,8,0
01/18/2022 04:15:00 PM,Tuesday,01/18/2022,16:15:00,4,2,2
01/18/2022 04:30:00 PM,Tuesday,01/18/2022,16:30:00,10,7,3
01/18/2022 04:45:00 PM,Tuesday,01/18/2022,16:45:00,10,7,3
01/18/2022 05:00:00 PM,Tuesday,01/18/2022,17:00:00,14,8,6
01/18/2022 05:15:00 PM,Tuesday,01/18/2022,17:15:00,18,16,2
01/18/2022 05:30:00 PM,Tuesday,01/18/2022,17:30:00,14,10,4
01/18/2022 05:45:00 PM,Tuesday,01/18/2022,17:45:00,15,14,1
01/18/2022 06:00:00 PM,Tuesday,01/18/2022,18:00:00,4,4,0
01/18/2022 06:15:00 PM,Tuesday,01/18/2022,18:15:00,15,12,3
01/18/2022 06:30:00 PM,Tuesday,01/18/2022,18:30:00,14,9,5
01/18/2022 06:45:00 PM,Tuesday,01/18/2022,18:45:00,10,9,1
01/18/2022 07:00:00 PM,Tuesday,01/18/2022,19:00:00,9,8,1
01/18/2022 07:15:00 PM,Tuesday,01/18/2022,19:15:00,6,6,0
01/18/2022 07:30:00 PM,Tuesday,01/18/2022,19:30:00,6,5,1
01/18/2022 07:45:00 PM,Tuesday,01/18/2022,19:45:00,6,6,0
01/18/2022 08:00:00 PM,Tuesday,01/18/2022,20:00:00,8,4,4
01/18/2022 08:15:00 PM,Tuesday,01/18/2022,20:15:00,3,3,0
01/18/2022 08:30:00 PM,Tuesday,01/18/2022,20:30:00,3,3,0
01/18/2022 08:45:00 PM,Tuesday,01/18/2022,20:45:00,2,1,1
01/18/2022 09:00:00 PM,Tuesday,01/18/2022,21:00:00,2,1,1
01/18/2022 09:15:00 PM,Tuesday,01/18/2022,21:15:00,4,2,2
01/18/2022 09:30:00 PM,Tuesday,01/18/2022,21:30:00,1,0,1
01/18/2022 09:45:00 PM,Tuesday,01/18/2022,21:45:00,0,0,0
01/18/2022 10:00:00 PM,Tuesday,01/18/2022,22:00:00,1,0,1
01/18/2022 10:15:00 PM,Tuesday,01/18/2022,22:15:00,3,2,1
01/18/2022 10:30:00 PM,Tuesday,01/18/2022,22:30:00,4,3,1
01/18/2022 10:45:00 PM,Tuesday,01/18/2022,22:45:00,0,0,0
01/18/2022 11:00:00 PM,Tuesday,01/18/2022,23:00:00,0,0,0
01/18/2022 11:15:00 PM,Tuesday,01/18/2022,23:15:00,4,4,0
01/18/2022 11:30:00 PM,Tuesday,01/18/2022,23:30:00,0,0,0
01/18/2022 11:45:00 PM,Tuesday,01/18/2022,23:45:00,2,2,0
04/30/2022 12:00:00 AM,Saturday,04/30/2022,00:00:00,4,3,1
04/30/2022 12:15:00 AM,Saturday,04/30/2022,00:15:00,1,0,1
04/30/2022 12:30:00 AM,Saturday,04/30/2022,00:30:00,2,2,0
04/30/2022 12:45:00 AM,Saturday,04/30/2022,00:45:00,1,1,0
04/30/2022 01:00:00 AM,Saturday,04/30/2022,01:00:00,2,2,0
04/30/2022 01:15:00 AM,Saturday,04/30/2022,01:15:00,6,5,1
04/30/2022 01:30:00 AM,Saturday,04/30/2022,01:30:00,3,2,1
04/30/2022 01:45:00 AM,Saturday,04/30/2022,01:45:00,3,2,1
04/30/2022 02:00:00 AM,Saturday,04/30/2022,02:00:00,3,3,0
04/30/2022 02:15:00 AM,Saturday,04/30/2022,02:15:00,1,1,0
04/30/2022 02:30:00 AM,Saturday,04/30/2022,02:30:00,2,2,0
04/30/2022 02:45:00 AM,Saturday,04/30/2022,02:45:00,1,1,0
04/30/2022 03:00:00 AM,Saturday,04/30/2022,03:00:00,1,0,1
04/30/2022 03:15:00 AM,Saturday,04/30/2022,03:15:00,0,0,0
04/30/2022 03:30:00 AM,Saturday,04/30/2022,03:30:00,1,1,0
04/30/2022 03:45:00 AM,Saturday,04/30/2022,03:45:00,1,1,0
04/30/2022 04:00:00 AM,Saturday,04/30/2022,04:00:00,0,0,0
04/30/2022 04:15:00 AM,Saturday,04/30/2022,04:15:00,1,1,0
04/30/2022 04:30:00 AM,Saturday,04/30/2022,04:30:00,1,0,1
04/30/2022 04:45:00 AM,Saturday,04/30/2022,04:45:00,0,0,0
04/30/2022 05:00:00 AM,Saturday,04/30/2022,05:00:00,1,1,0
04/30/2022 05:15:00 AM,Saturday,04/30/2022,05:15:00,0,0,0
04/30/2022 05:30:00 AM,Saturday,04/30/2022,05:30:00,0,0,0
