NEWID,PRINEARN,FINLWT21,FINCBTAX,BLS_URBN,POPSIZE,EDUC_REF,EDUCA2,AGE_REF,AGE2,SEX_REF,SEX2,REF_RACE,RACE2,HISP_REF,HISP2,FAM_TYPE,MARITAL1,REGION,SMSASTAT,HIGH_EDU,EHOUSNGC,TOTEXPCQ,FOODCQ,TRANSCQ,HEALTHCQ,ENTERTCQ,EDUCACQ,TOBACCCQ,STUDFINX,IRAX,CUTENURE,FAM_SIZE,VEHQ,ROOMSQ,INC_HRS1,INC_HRS2,EARNCOMP,NO_EARNR,OCCUCOD1,OCCUCOD2,STATE,DIVISION,TOTXEST,CREDFINX,CREDITB,CREDITX,BUILDING,ST_HOUS,INT_PHON,INT_HOME
03324174,01,25984.767,116920,1,2,16,15,63,50,1,2,1,1,2,2,3,1,4,1,16,0,0,0,0,0,0,0,0,NA,1000000,1,4,3,8,40,30,3,4,03,04,41,9,15452,0,NA,4000,01,2,,
03324204,01,6581.018,200,1,3,15,15,50,47,1,2,4,4,2,2,4,1,4,1,15,0,0,0,0,0,0,0,0,NA,10000,1,6,5,5,40,40,2,2,03,02,15,9,11459,NA,NA,5000,01,2,,
03324214,01,20208.499,117000,1,4,16,13,47,46,2,1,2,1,2,1,1,1,3,1,16,0,0,0,0,0,0,0,0,NA,0,1,2,0,6,40,52,2,2,05,01,48,7,15738,0,NA,2000,01,2,,
03324244,01,18078.372,0,1,2,15,,37,NA,1,NA,1,NA,2,NA,8,5,4,1,15,0,0,0,0,0,0,0,0,NA,NA,1,1,4,4,44,NA,1,1,03,,06,9,25978,NA,NA,NA,02,2,,
03324274,02,20111.619,2000,1,2,14,,51,NA,2,NA,1,NA,2,NA,9,3,4,1,14,0,0,0,0,0,0,0,0,NA,NA,1,2,2,4,40,NA,4,2,04,,06,9,588,5,NA,7000,08,2,,
03324284,01,19907.324,942,1,2,11,,63,NA,1,NA,1,NA,1,NA,9,3,3,1,11,0,0,0,0,0,0,0,0,NA,0,2,2,0,4,NA,NA,7,1,,,48,7,0,NA,NA,1800,01,2,,
03324294,01,11704.559,0,1,1,10,,77,NA,2,NA,1,NA,1,NA,8,2,4,1,10,0,0,0,0,0,0,0,0,NA,0,4,1,0,7,NA,NA,8,0,,,06,9,0,NA,NA,NA,01,2,,
03324304,01,24431.177,91000,1,2,13,15,37,36,1,2,1,1,2,2,3,1,1,1,15,0,0,0,0,0,0,0,0,NA,15000,1,5,2,5,40,40,2,2,12,02,42,2,7261,NA,NA,6000,01,2,,
03324324,02,42859.35,95000,2,5,12,15,51,53,1,2,1,1,2,2,1,1,3,2,15,0,0,0,0,0,0,0,0,NA,NA,1,2,4,4,40,40,2,2,04,03,,NA,9406,NA,NA,NA,01,2,,
03324334,01,17480.604,40037,1,2,12,14,64,67,2,1,1,1,2,2,1,1,2,1,14,0,0,0,0,0,0,0,0,NA,477000,2,2,2,9,NA,NA,8,0,,,27,4,-1414,0,NA,719,01,2,,
