DateTime,Day,Date,Time,Total,Westbound,Eastbound,Occasion
07/04/2019 12:00:00 AM,Thursday,2019-07-04,00:00:00,2,2,0,Fourth of July
07/04/2019 12:15:00 AM,Thursday,2019-07-04,00:15:00,3,3,0,Fourth of July
07/04/2019 12:30:00 AM,Thursday,2019-07-04,00:30:00,2,1,1,Fourth of July
07/04/2019 12:45:00 AM,Thursday,2019-07-04,00:45:00,0,0,0,Fourth of July
07/04/2019 01:00:00 AM,Thursday,2019-07-04,01:00:00,3,2,1,Fourth of July
07/04/2019 01:15:00 AM,Thursday,2019-07-04,01:15:00,2,2,0,Fourth of July
07/04/2019 01:30:00 AM,Thursday,2019-07-04,01:30:00,1,1,0,Fourth of July
07/04/2019 01:45:00 AM,Thursday,2019-07-04,01:45:00,0,0,0,Fourth of July
07/04/2019 02:00:00 AM,Thursday,2019-07-04,02:00:00,0,0,0,Fourth of July
07/04/2019 02:15:00 AM,Thursday,2019-07-04,02:15:00,0,0,0,Fourth of July
07/04/2019 02:30:00 AM,Thursday,2019-07-04,02:30:00,0,0,0,Fourth of July
07/04/2019 02:45:00 AM,Thursday,2019-07-04,02:45:00,0,0,0,Fourth of July
07/04/2019 03:00:00 AM,Thursday,2019-07-04,03:00:00,1,1,0,Fourth of July
07/04/2019 03:15:00 AM,Thursday,2019-07-04,03:15:00,1,1,0,Fourth of July
07/04/2019 03:30:00 AM,Thursday,2019-07-04,03:30:00,0,0,0,Fourth of July
07/04/2019 03:45:00 AM,Thursday,2019-07-04,03:45:00,0,0,0,Fourth of July
07/04/2019 04:00:00 AM,Thursday,2019-07-04,04:00:00,0,0,0,Fourth of July
07/04/2019 04:15:00 AM,Thursday,2019-07-04,04:15:00,0,0,0,Fourth of July
07/04/2019 04:30:00 AM,Thursday,2019-07-04,04:30:00,1,0,1,Fourth of July
07/04/2019 04:45:00 AM,Thursday,2019-07-04,04:45:00,1,1,0,Fourth of July
07/04/2019 05:00:00 AM,Thursday,2019-07-04,05:00:00,0,0,0,Fourth of July
07/04/2019 05:15:00 AM,Thursday,2019-07-04,05:15:00,0,0,0,Fourth of July
07/04/2019 05:30:00 AM,Thursday,2019-07-04,05:30:00,1,0,1,Fourth of July
07/04/2019 05:45:00 AM,Thursday,2019-07-04,05:45:00,1,1,0,Fourth of July
07/04/2019 06:00:00 AM,Thursday,2019-07-04,06:00:00,1,1,0,Fourth of July
07/04/2019 06:15:00 AM,Thursday,2019-07-04,06:15:00,4,0,4,Fourth of July
07/04/2019 06:30:00 AM,Thursday,2019-07-04,06:30:00,9,1,8,Fourth of July
07/04/2019 06:45:00 AM,Thursday,2019-07-04,06:45:00,5,0,5,Fourth of July
07/04/2019 07:00:00 AM,Thursday,2019-07-04,07:00:00,3,3,0,Fourth of July
07/04/2019 07:15:00 AM,Thursday,2019-07-04,07:15:00,2,0,2,Fourth of July
07/04/2019 07:30:00 AM,Thursday,2019-07-04,07:30:00,5,2,3,Fourth of July
07/04/2019 07:45:00 AM,Thursday,2019-07-04,07:45:00,2,0,2,Fourth of July
07/04/2019 08:00:00 AM,Thursday,2019-07-04,08:00:00,6,0,6,Fourth of July
07/04/2019 08:15:00 AM,Thursday,2019-07-04,08:15:00,6,0,6,Fourth of July
07/04/2019 08:30:00 AM,Thursday,2019-07-04,08:30:00,5,3,2,Fourth of July
07/04/2019 08:45:00 AM,Thursday,2019-07-04,08:45:00,8,1,7,Fourth of July
07/04/2019 09:00:00 AM,Thursday,2019-07-04,09:00:00,4,1,3,Fourth of July
07/04/2019 09:15:00 AM,Thursday,2019-07-04,09:15:00,9,2,7,Fourth of July
07/04/2019 09:30:00 AM,Thursday,2019-07-04,09:30:00,11,6,5,Fourth of July
07/04/2019 09:45:00 AM,Thursday,2019-07-04,09:45:00,9,2,7,Fourth of July
07/04/2019 10:00:00 AM,Thursday,2019-07-04,10:00:00,7,2,5,Fourth of July
07/04/2019 10:15:00 AM,Thursday,2019-07-04,10:15:00,2,1,1,Fourth of July
07/04/2019 10:30:00 AM,Thursday,2019-07-04,10:30:00,9,7,2,Fourth of July
07/04/2019 10:45:00 AM,Thursday,2019-07-04,10:45:00,14,5,9,Fourth of July
07/04/2019 11:00:00 AM,Thursday,2019-07-04,11:00:00,9,3,6,Fourth of July
07/04/2019 11:15:00 AM,Thursday,2019-07-04,11:15:00,16,4,12,Fourth of July
07/04/2019 11:30:00 AM,Thursday,2019-07-04,11:30:00,11,4,7,Fourth of July
07/04/2019 11:45:00 AM,Thursday,2019-07-04,11:45:00,16,2,14,Fourth of July
07/04/2019 12:00:00 PM,Thursday,2019-07-04,12:00:00,13,7,6,Fourth of July
07/04/2019 12:15:00 PM,Thursday,2019-07-04,12:15:00,12,6,6,Fourth of July
07/04/2019 12:30:00 PM,Thursday,2019-07-04,12:30:00,13,6,7,Fourth of July
07/04/2019 12:45:00 PM,Thursday,2019-07-04,12:45:00,16,6,10,Fourth of July
07/04/2019 01:00:00 PM,Thursday,2019-07-04,13:00:00,15,7,8,Fourth of July
07/04/2019 01:15:00 PM,Thursday,2019-07-04,13:15:00,6,5,1,Fourth of July
07/04/2019 01:30:00 PM,Thursday,2019-07-04,13:30:00,23,10,13,Fourth of July
07/04/2019 01:45:00 PM,Thursday,2019-07-04,13:45:00,17,13,4,Fourth of July
07/04/2019 02:00:00 PM,Thursday,2019-07-04,14:00:00,13,6,7,Fourth of July
07/04/2019 02:15:00 PM,Thursday,2019-07-04,14:15:00,15,8,7,Fourth of July
07/04/2019 02:30:00 PM,Thursday,2019-07-04,14:30:00,9,7,2,Fourth of July
07/04/2019 02:45:00 PM,Thursday,2019-07-04,14:45:00,9,2,7,Fourth of July
07/04/2019 03:00:00 PM,Thursday,2019-07-04,15:00:00,5,3,2,Fourth of July
07/04/2019 03:15:00 PM,Thursday,2019-07-04,15:15:00,17,11,6,Fourth of July
07/04/2019 03:30:00 PM,Thursday,2019-07-04,15:30:00,10,3,7,Fourth of July
07/04/2019 03:45:00 PM,Thursday,2019-07-04,15:45:00,19,14,5,Fourth of July
07/04/2019 04:00:00 PM,Thursday,2019-07-04,16:00:00,6,4,2,Fourth of July
07/04/2019 04:15:00 PM,Thursday,2019-07-04,16:15:00,12,3,9,Fourth of July
07/04/2019 04:30:00 PM,Thursday,2019-07-04,16:30:00,13,4,9,Fourth of July
07/04/2019 04:45:00 PM,Thursday,2019-07-04,16:45:00,18,11,7,Fourth of July
07/04/2019 05:00:00 PM,Thursday,2019-07-04,17:00:00,19,12,7,Fourth of July
07/04/2019 05:15:00 PM,Thursday,2019-07-04,17:15:00,22,15,7,Fourth of July
07/04/2019 05:30:00 PM,Thursday,2019-07-04,17:30:00,26,13,13,Fourth of July
07/04/2019 05:45:00 PM,Thursday,2019-07-04,17:45:00,18,10,8,Fourth of July
07/04/2019 06:00:00 PM,Thursday,2019-07-04,18:00:00,17,8,9,Fourth of July
07/04/2019 06:15:00 PM,Thursday,2019-07-04,18:15:00,17,10,7,Fourth of July
07/04/2019 06:30:00 PM,Thursday,2019-07-04,18:30:00,15,8,7,Fourth of July
