NEWID,MEMBNO,AGE,SEX,EARNER,EARNTYPE,INC_HRSQ,INCOMEY,OCCUCODE,HISPANIC,MEMBRACE,PAYSTUB,SALARYX,WKSTATUS
03552611,1,58,2,1,2,20,4,10,NA,1,1,8982,1
03552641,1,54,1,1,1,56,1,05,NA,1,2,NA,1
03552641,2,49,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03552651,1,39,2,2,NA,NA,NA,,NA,2,NA,NA,NA
03552651,2,10,2,NA,NA,NA,NA,,NA,2,NA,NA,NA
03552651,3,32,1,2,NA,NA,NA,,NA,2,NA,NA,NA
03552651,4,7,1,NA,NA,NA,NA,,NA,2,NA,NA,NA
03552651,5,9,1,NA,NA,NA,NA,,NA,2,NA,NA,NA
03552681,1,38,1,1,3,50,1,03,NA,1,2,280500,1
03552681,2,34,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03552681,3,11,1,NA,NA,NA,NA,,NA,1,NA,NA,NA
03552681,4,8,2,NA,NA,NA,NA,,NA,1,NA,NA,NA
03552681,5,6,1,NA,NA,NA,NA,,NA,1,NA,NA,NA
03552681,6,3,1,NA,NA,NA,NA,,NA,1,NA,NA,NA
03552711,1,65,1,1,4,25,4,11,NA,2,2,5500,1
03552711,2,61,2,2,NA,NA,NA,,NA,2,NA,NA,NA
03552711,3,11,2,NA,NA,NA,NA,,NA,2,NA,NA,NA
03552711,4,6,2,NA,NA,NA,NA,,NA,2,NA,NA,NA
03552731,1,20,2,1,4,30,1,04,NA,1,1,4500,1
03552731,2,23,1,1,1,40,1,12,NA,1,1,15000,1
03552731,3,23,1,1,3,35,1,12,NA,1,1,14500,1
03552731,4,0,1,NA,NA,NA,NA,,NA,1,NA,NA,NA
03552741,1,76,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03552771,1,70,2,2,NA,NA,NA,,NA,1,NA,NA,NA
03552771,2,38,1,1,1,45,1,11,NA,1,NA,NA,1
03552771,3,42,1,2,NA,NA,NA,,NA,1,NA,NA,NA
03552781,1,70,2,1,2,22,3,09,NA,1,1,11736,1
03552811,1,70,1,2,NA,NA,NA,,NA,2,NA,NA,NA
03552821,1,31,2,1,1,50,1,10,1,1,2,20000,1
