PaymentPlan,Date,Duration,Occasion,Distance_Miles,Start_Latitude,Start_Longitude,End_Latitude,End_Longitude
Subscriber,2019-07-01,00:34:47,Normal Thursday,0.52,45.5286366,-122.6820195,45.5263984,-122.6893626
Casual,2019-07-01,00:09:16,Normal Thursday,0.49,45.52374151,-122.6818129,45.523547,-122.6892567
Casual,2019-07-01,00:05:56,Normal Thursday,0.55,45.5229274,-122.657678,45.51844688,-122.651685
Casual,2019-07-01,00:18:32,Normal Thursday,1.23,45.512867,-122.67487,45.5211726,-122.6763654
Subscriber,2019-07-01,00:07:42,Normal Thursday,0.62,45.51507401,-122.6870298,45.5205884,-122.6936092
Casual,2019-07-01,00:43:51,Normal Thursday,1.97,45.51556831,-122.6738924,45.51556831,-122.6738924
Casual,2019-07-01,00:42:41,Normal Thursday,1.91,45.51556831,-122.6738924,45.51556831,-122.6738924
Casual,2019-07-01,00:08:43,Normal Thursday,1,45.51928859,-122.6792488,45.52556242,-122.6892561
Casual,2019-07-01,00:07:22,Normal Thursday,1.66,45.5398445,-122.675859,45.5299294,-122.6753219
Casual,2019-07-01,00:05:46,Normal Thursday,0.79,45.52175423,-122.6810794,45.53080401,-122.6844227
Casual,2019-07-01,00:20:35,Normal Thursday,1.95,45.493337,-122.623397,45.51645917,-122.6189983
Casual,2019-07-01,00:19:14,Normal Thursday,1.97,45.493337,-122.623397,45.51645917,-122.6189983
Casual,2019-07-01,00:04:20,Normal Thursday,0.46,45.529689,-122.661806,45.5229341,-122.6597069
Casual,2019-07-01,00:01:42,Normal Thursday,0,45.5120818,-122.6533493,45.5120818,-122.6533493
Subscriber,2019-07-01,00:16:47,Normal Thursday,0.78,45.5286366,-122.6820195,45.52862062,-122.6905073
Casual,2019-07-01,00:16:21,Normal Thursday,1.24,45.5211726,-122.6763654,45.5211726,-122.6763654
Casual,2019-07-01,00:06:14,Normal Thursday,0.27,45.5165337,-122.6776568,45.5154692,-122.6794042
Subscriber,2019-07-01,00:02:59,Normal Thursday,0.01,45.51782551,-122.6724963,45.51782551,-122.6724963
Subscriber,2019-07-01,00:10:19,Normal Thursday,0.25,45.5264458,-122.6873355,45.5264458,-122.6873355
Subscriber,2019-07-01,00:54:12,Normal Thursday,1.61,45.51782551,-122.6724963,45.51782551,-122.6724963
Subscriber,2019-07-01,00:02:00,Normal Thursday,0.06,45.5215967,-122.6737711,45.52247868,-122.6732969
Subscriber,2019-07-01,00:24:59,Normal Thursday,0.44,45.52247868,-122.6732969,45.5230674,-122.6764857
Casual,2019-07-01,00:13:53,Normal Thursday,1.35,45.51649676,-122.6307517,45.511907,-122.6294804
Casual,2019-07-01,00:17:49,Normal Thursday,2.67,45.52649493,-122.6416328,45.52196048,-122.6896772
Casual,2019-07-01,00:41:52,Normal Thursday,4.14,45.52247868,-122.6732969,45.50936198,-122.6812121
Casual,2019-07-01,00:40:01,Normal Thursday,4.13,45.52247868,-122.6732969,45.50936198,-122.6812121
Subscriber,2019-07-01,00:07:27,Normal Thursday,0.98,45.5245495,-122.6734472,45.53232501,-122.6824299
Casual,2019-07-01,00:35:17,Normal Thursday,4.04,45.52247868,-122.6732969,45.50936198,-122.6812121
Subscriber,2019-07-01,00:05:47,Normal Thursday,0.58,45.5205884,-122.6936092,45.5212282,-122.6837964
Subscriber,2019-07-01,00:08:15,Normal Thursday,1.32,45.5120818,-122.6533493,45.512867,-122.67487
Casual,2019-07-01,00:04:53,Normal Thursday,0.41,45.5482808,-122.6116674,45.5482425,-122.6035047
Subscriber,2019-07-01,00:23:51,Normal Thursday,1.11,45.559107,-122.6526729,45.559107,-122.6526729
Subscriber,2019-07-01,00:49:46,Normal Thursday,2.16,45.53146071,-122.659741,45.5313127,-122.662511
Casual,2019-07-01,00:27:15,Normal Thursday,4.06,45.54998583,-122.6756573,45.51936283,-122.6359928
Subscriber,2019-07-01,00:12:35,Normal Thursday,1.75,45.52487653,-122.6965141,45.51184309,-122.68372
