Date,n,n_miles,avg_miles,Occasion
2019-07-01,1110,1548.5400000000018,1.3950810810810812,Normal Thursday
2019-07-02,945,1305.4599999999984,1.3814391534391535,Normal Thursday
2019-07-03,1089,1523.73,1.3992011019283748,Normal Thursday
2019-07-04,1608,2537.930000000005,1.5783146766169154,Fourth of July
2019-07-05,1210,1794.4099999999994,1.4829834710743801,Normal Thursday
2019-07-06,1183,1722.0499999999997,1.4556635672020288,Normal Thursday
2019-07-07,1010,1644.3500000000001,1.628069306930693,Normal Thursday
2019-07-08,1183,1813.47,1.5329416737109045,Normal Thursday
2019-07-09,791,1076.4099999999978,1.3608217446270543,Normal Thursday
2019-07-10,1074,1514.9100000000024,1.4105307262569833,Normal Thursday
2019-07-11,1303,2032.4499999999998,1.559823484267076,Normal Thursday
2019-07-12,1395,2219.1700000000005,1.5908028673835126,Normal Thursday
2019-07-13,1344,2198.630000000001,1.6358854166666665,Normal Thursday
2019-07-14,1169,1666.4499999999994,1.425534644995723,Normal Thursday
2019-07-15,1171,1650.6199999999994,1.4095815542271564,Normal Thursday
2019-07-16,1076,1574.4100000000008,1.4632063197026022,Normal Thursday
2019-07-17,1120,1565.7500000000027,1.3979910714285715,Normal Thursday
2019-07-18,1302,1839.1499999999974,1.4125576036866359,Normal Thursday
2019-07-19,1318,1977.5500000000013,1.5004172989377846,Normal Thursday
2019-07-20,1374,2127.440000000003,1.5483551673944687,Normal Thursday
2019-07-21,1019,1577.4399999999991,1.5480274779195289,Normal Thursday
2019-07-22,1213,1725.2600000000018,1.422308326463314,Normal Thursday
2019-07-23,1192,1683.5099999999986,1.4123406040268456,Normal Thursday
2019-07-24,1290,1773.650000000001,1.374922480620155,Normal Thursday
2019-07-25,1323,1854.5099999999957,1.4017460317460317,Normal Thursday
2019-07-26,1445,2035.1599999999987,1.408415224913495,Normal Thursday
2019-07-27,1224,1853.9099999999999,1.5146323529411765,Normal Thursday
2019-07-28,1081,1643.4599999999998,1.5203145235892692,Normal Thursday
2019-07-29,1156,1626.6499999999983,1.407136678200692,Normal Thursday
2019-07-30,1199,1657.6300000000017,1.382510425354462,Normal Thursday
2019-07-31,1236,1832.7199999999968,1.4827831715210356,Normal Thursday
