Have you taken any computer science courses?,ggplot2,dplyr,tidyr,"For each R package or task, please rate what you think your proficiency level is.  (For many/most of these, it is expected and completely fine if your answer is ""no experience"".) [shiny]","For each R package or task, please rate what you think your proficiency level is.  (For many/most of these, it is expected and completely fine if your answer is ""no experience"".) [Using R Markdown documents]","For each R package or task, please rate what you think your proficiency level is.  (For many/most of these, it is expected and completely fine if your answer is ""no experience"".) [Writing functions in R]","For each R package or task, please rate what you think your proficiency level is.  (For many/most of these, it is expected and completely fine if your answer is ""no experience"".) [Writing for loops in R]","Have you used git/GitHub?  (Select ""Other"" if you have not used git but have used another version control software.)"
Yes,Limited experience,No experience,No experience,Limited experience,Moderate experience,Expert,Expert,Yes
No,Moderate experience,Moderate experience,Limited experience,No experience,Moderate experience,No experience,No experience,No
Yes,Moderate experience,Moderate experience,Moderate experience,No experience,Moderate experience,No experience,No experience,Yes
"Other than taking Stat 100 last semester and doing computational projects in my advanced life sciences course LS50, I have not taken an official CS course at Harvard. However, in high-school I took AP CS A and have a strong background in languages like Java, Python, C++, and Dart.",Expert,Expert,Expert,No experience,Expert,Moderate experience,Moderate experience,Yes
"Just CS50, though I did not understand/retain a lot of what I was learning.",Moderate experience,Moderate experience,Limited experience,No experience,Expert,No experience,No experience,Yes
Yes,Moderate experience,Limited experience,Limited experience,No experience,No experience,Moderate experience,Moderate experience,Yes
Yes,Moderate experience,Limited experience,No experience,No experience,Expert,Moderate experience,Expert,No
Yes,No experience,No experience,No experience,No experience,Limited experience,Limited experience,Limited experience,No
Yes,Limited experience,Limited experience,No experience,No experience,Moderate experience,Moderate experience,Moderate experience,No
Concurrently taking CS 32,Moderate experience,Moderate experience,Moderate experience,Limited experience,Moderate experience,Moderate experience,Limited experience,Yes
Yes,No experience,No experience,No experience,No experience,No experience,Limited experience,Limited experience,Yes
No,No experience,No experience,No experience,No experience,No experience,No experience,No experience,No
No,Limited experience,No experience,No experience,No experience,Moderate experience,Moderate experience,No experience,No
No,No experience,Limited experience,No experience,No experience,No experience,No experience,No experience,No
Yes,No experience,No experience,No experience,No experience,Moderate experience,Limited experience,Limited experience,Yes
Yes,Moderate experience,Moderate experience,Limited experience,No experience,Moderate experience,No experience,No experience,Yes
No,Moderate experience,Moderate experience,No experience,No experience,Moderate experience,No experience,No experience,No
No,Moderate experience,Moderate experience,Limited experience,No experience,Moderate experience,No experience,No experience,No
No,Limited experience,No experience,Limited experience,No experience,Limited experience,Limited experience,No experience,No
Yes,Limited experience,Limited experience,Limited experience,Limited experience,Expert,Moderate experience,Moderate experience,Yes
Yes,Limited experience,Limited experience,Limited experience,No experience,Moderate experience,Limited experience,Limited experience,Yes
No,Moderate experience,Moderate experience,No experience,No experience,Moderate experience,No experience,No experience,No
Yes,No experience,No experience,No experience,No experience,Limited experience,No experience,Limited experience,Yes
No,Moderate experience,Limited experience,Limited experience,No experience,Moderate experience,Moderate experience,Limited experience,Yes
Yes,No experience,No experience,No experience,No experience,No experience,No experience,No experience,Yes
No,No experience,No experience,No experience,No experience,Moderate experience,Limited experience,No experience,No
Yes,Limited experience,Limited experience,Limited experience,No experience,Limited experience,Limited experience,No experience,Yes
No,No experience,No experience,No experience,No experience,No experience,Limited experience,No experience,No
Yes,Limited experience,No experience,Limited experience,Limited experience,No experience,No experience,Limited experience,Yes
Yes,Moderate experience,Moderate experience,No experience,No experience,Moderate experience,No experience,No experience,Yes
Yes,Limited experience,Moderate experience,Limited experience,No experience,Moderate experience,Moderate experience,Moderate experience,Yes
Yes,Moderate experience,Limited experience,No experience,Limited experience,Expert,Limited experience,Limited experience,Yes
Yes,Expert,Expert,Expert,Expert,Expert,Expert,Limited experience,Yes
Yes,Limited experience,Limited experience,Limited experience,No experience,Expert,Expert,Expert,Yes
Yes,Limited experience,No experience,No experience,No experience,Moderate experience,Limited experience,Limited experience,Yes
Yes,Limited experience,No experience,No experience,No experience,Moderate experience,Moderate experience,Moderate experience,Yes
Yes,No experience,No experience,No experience,No experience,No experience,No experience,No experience,No
No,Moderate experience,Moderate experience,Moderate experience,No experience,Moderate experience,Limited experience,No experience,No
Yes,No experience,Limited experience,No experience,No experience,Limited experience,Limited experience,Limited experience,Yes
Yes,Moderate experience,Limited experience,Limited experience,Limited experience,Limited experience,Limited experience,Limited experience,No
Yes,No experience,No experience,No experience,No experience,No experience,No experience,Limited experience,Yes
Yes,Limited experience,Limited experience,Limited experience,No experience,Expert,Limited experience,Limited experience,Yes
No,Moderate experience,Moderate experience,Limited experience,Limited experience,Expert,Moderate experience,No experience,Yes
Yes,Moderate experience,Moderate experience,Moderate experience,No experience,Limited experience,Limited experience,No experience,Yes
Yes,Moderate experience,Moderate experience,Limited experience,No experience,Limited experience,No experience,No experience,Yes
Yes,Limited experience,No experience,Limited experience,Limited experience,No experience,No experience,Limited experience,Yes
No,Expert,Moderate experience,Moderate experience,No experience,Moderate experience,Moderate experience,No experience,No
