COMMON NAME,SCIENTIFIC NAME,GENUS,FAMILY,About,Image,y,x,SPECIES
American Sweetgum,Liquidambar styraciflua,Liquidambar,Hamamelidaceae,"This deciduous tree is distinguished by its prickly seed balls and beautiful fall colors. The Sweetgum got its name because the cut bark exudes a sweet, fragrant liquid used to make perfumes. It often is mistaken for a maple because the leaves are similar. The Sweetgum leaves are lustrous and bright green above and paler beneath. The wood of this tree is used to make furniture.",http://blogs.reed.edu/trees/files/2013/08/IMG_0388-american-sweetgum-e1411081979730.jpg,45.47938732,-122.6295769,Liquidambar styraciflua
American Sweetgum,Liquidambar styraciflua,Liquidambar,Hamamelidaceae,"This deciduous tree is distinguished by its prickly seed balls and beautiful fall colors. The Sweetgum got its name because the cut bark exudes a sweet, fragrant liquid used to make perfumes. It often is mistaken for a maple because the leaves are similar. The Sweetgum leaves are lustrous and bright green above and paler beneath. The wood of this tree is used to make furniture.",http://blogs.reed.edu/trees/files/2013/08/IMG_0388-american-sweetgum-e1411081979730.jpg,45.48095578,-122.6311554,Liquidambar styraciflua
American Sweetgum,Liquidambar styraciflua,Liquidambar,Hamamelidaceae,"This deciduous tree is distinguished by its prickly seed balls and beautiful fall colors. The Sweetgum got its name because the cut bark exudes a sweet, fragrant liquid used to make perfumes. It often is mistaken for a maple because the leaves are similar. The Sweetgum leaves are lustrous and bright green above and paler beneath. The wood of this tree is used to make furniture.",http://blogs.reed.edu/trees/files/2013/08/IMG_0388-american-sweetgum-e1411081979730.jpg,45.48277243,-122.6313029,Liquidambar styraciflua
American Sweetgum,Liquidambar styraciflua,Liquidambar,Hamamelidaceae,"This deciduous tree is distinguished by its prickly seed balls and beautiful fall colors. The Sweetgum got its name because the cut bark exudes a sweet, fragrant liquid used to make perfumes. It often is mistaken for a maple because the leaves are similar. The Sweetgum leaves are lustrous and bright green above and paler beneath. The wood of this tree is used to make furniture.",http://blogs.reed.edu/trees/files/2013/08/IMG_0388-american-sweetgum-e1411081979730.jpg,45.47940895,-122.6296359,Liquidambar styraciflua
American Sweetgum,Liquidambar styraciflua,Liquidambar,Hamamelidaceae,"This deciduous tree is distinguished by its prickly seed balls and beautiful fall colors. The Sweetgum got its name because the cut bark exudes a sweet, fragrant liquid used to make perfumes. It often is mistaken for a maple because the leaves are similar. The Sweetgum leaves are lustrous and bright green above and paler beneath. The wood of this tree is used to make furniture.",http://blogs.reed.edu/trees/files/2013/08/IMG_0388-american-sweetgum-e1411081979730.jpg,45.48131393,-122.6334512,Liquidambar styraciflua
American Sweetgum,Liquidambar styraciflua,Liquidambar,Hamamelidaceae,"This deciduous tree is distinguished by its prickly seed balls and beautiful fall colors. The Sweetgum got its name because the cut bark exudes a sweet, fragrant liquid used to make perfumes. It often is mistaken for a maple because the leaves are similar. The Sweetgum leaves are lustrous and bright green above and paler beneath. The wood of this tree is used to make furniture.",http://blogs.reed.edu/trees/files/2013/08/IMG_0388-american-sweetgum-e1411081979730.jpg,45.48324047,-122.6373256,Liquidambar styraciflua
American Sweetgum,Liquidambar styraciflua,Liquidambar,Hamamelidaceae,"This deciduous tree is distinguished by its prickly seed balls and beautiful fall colors. The Sweetgum got its name because the cut bark exudes a sweet, fragrant liquid used to make perfumes. It often is mistaken for a maple because the leaves are similar. The Sweetgum leaves are lustrous and bright green above and paler beneath. The wood of this tree is used to make furniture.",http://blogs.reed.edu/trees/files/2013/08/IMG_0388-american-sweetgum-e1411081979730.jpg,45.48050788,-122.6323892,Liquidambar styraciflua
American Sweetgum,Liquidambar styraciflua,Liquidambar,Hamamelidaceae,"This deciduous tree is distinguished by its prickly seed balls and beautiful fall colors. The Sweetgum got its name because the cut bark exudes a sweet, fragrant liquid used to make perfumes. It often is mistaken for a maple because the leaves are similar. The Sweetgum leaves are lustrous and bright green above and paler beneath. The wood of this tree is used to make furniture.",http://blogs.reed.edu/trees/files/2013/08/IMG_0388-american-sweetgum-e1411081979730.jpg,45.48266618,-122.6312882,Liquidambar styraciflua
American Sweetgum,Liquidambar styraciflua,Liquidambar,Hamamelidaceae,"This deciduous tree is distinguished by its prickly seed balls and beautiful fall colors. The Sweetgum got its name because the cut bark exudes a sweet, fragrant liquid used to make perfumes. It often is mistaken for a maple because the leaves are similar. The Sweetgum leaves are lustrous and bright green above and paler beneath. The wood of this tree is used to make furniture.",http://blogs.reed.edu/trees/files/2013/08/IMG_0388-american-sweetgum-e1411081979730.jpg,45.48252137,-122.6312359,Liquidambar styraciflua
American Sweetgum,Liquidambar styraciflua,Liquidambar,Hamamelidaceae,"This deciduous tree is distinguished by its prickly seed balls and beautiful fall colors. The Sweetgum got its name because the cut bark exudes a sweet, fragrant liquid used to make perfumes. It often is mistaken for a maple because the leaves are similar. The Sweetgum leaves are lustrous and bright green above and paler beneath. The wood of this tree is used to make furniture.",http://blogs.reed.edu/trees/files/2013/08/IMG_0388-american-sweetgum-e1411081979730.jpg,45.48071412,-122.6296172,Liquidambar styraciflua
American Sweetgum,Liquidambar styraciflua,Liquidambar,Hamamelidaceae,"This deciduous tree is distinguished by its prickly seed balls and beautiful fall colors. The Sweetgum got its name because the cut bark exudes a sweet, fragrant liquid used to make perfumes. It often is mistaken for a maple because the leaves are similar. The Sweetgum leaves are lustrous and bright green above and paler beneath. The wood of this tree is used to make furniture.",http://blogs.reed.edu/trees/files/2013/08/IMG_0388-american-sweetgum-e1411081979730.jpg,45.48250633,-122.6310012,Liquidambar styraciflua
American Sweetgum,Liquidambar styraciflua,Liquidambar,Hamamelidaceae,"This deciduous tree is distinguished by its prickly seed balls and beautiful fall colors. The Sweetgum got its name because the cut bark exudes a sweet, fragrant liquid used to make perfumes. It often is mistaken for a maple because the leaves are similar. The Sweetgum leaves are lustrous and bright green above and paler beneath. The wood of this tree is used to make furniture.",http://blogs.reed.edu/trees/files/2013/08/IMG_0388-american-sweetgum-e1411081979730.jpg,45.4824689,-122.6310451,Liquidambar styraciflua
American Sweetgum,Liquidambar styraciflua,Liquidambar,Hamamelidaceae,"This deciduous tree is distinguished by its prickly seed balls and beautiful fall colors. The Sweetgum got its name because the cut bark exudes a sweet, fragrant liquid used to make perfumes. It often is mistaken for a maple because the leaves are similar. The Sweetgum leaves are lustrous and bright green above and paler beneath. The wood of this tree is used to make furniture.",http://blogs.reed.edu/trees/files/2013/08/IMG_0388-american-sweetgum-e1411081979730.jpg,45.48316227,-122.6373117,Liquidambar styraciflua
American Sweetgum,Liquidambar styraciflua,Liquidambar,Hamamelidaceae,"This deciduous tree is distinguished by its prickly seed balls and beautiful fall colors. The Sweetgum got its name because the cut bark exudes a sweet, fragrant liquid used to make perfumes. It often is mistaken for a maple because the leaves are similar. The Sweetgum leaves are lustrous and bright green above and paler beneath. The wood of this tree is used to make furniture.",http://blogs.reed.edu/trees/files/2013/08/IMG_0388-american-sweetgum-e1411081979730.jpg,45.48278559,-122.6311018,Liquidambar styraciflua
American Sycamore,Platanus occidentalis,Platanus,Platanaceae,"Also known as the Buttonwood, Buttonball tree, and American Planetree, this tree is native to the eastern U.S., south to northern Florida and Texas. Leaves are 3 and sometimes 5-lobed, flat medium green in summer; fall color is tan to brown. The hard wood of the American Sycamore is often used for butcher blocks. Its bark is distinctive: on older trees it peels and flakes, leaving a lighter underbark. This tree can reach enormous heights of 150 feet in its native habitat and up to 100 feet in the city. It is one parent of the London Plane tree.",http://blogs.reed.edu/trees/files/2013/09/PLOC1_lg.jpg,45.47949453,-122.6337351,Platanus occidentalis
American Sycamore,Platanus occidentalis,Platanus,Platanaceae,"Also known as the Buttonwood, Buttonball tree, and American Planetree, this tree is native to the eastern U.S., south to northern Florida and Texas. Leaves are 3 and sometimes 5-lobed, flat medium green in summer; fall color is tan to brown. The hard wood of the American Sycamore is often used for butcher blocks. Its bark is distinctive: on older trees it peels and flakes, leaving a lighter underbark. This tree can reach enormous heights of 150 feet in its native habitat and up to 100 feet in the city. It is one parent of the London Plane tree.",http://blogs.reed.edu/trees/files/2013/09/PLOC1_lg.jpg,45.48000935,-122.63269,Platanus occidentalis
